name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college
brian skinner,21564.0,Brian Skinner,C,35.0,MEM,1.0,0.0,4.0,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,-13.2,-2.9,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,0.0,0.0,0.0,0.0,Brian Skinner,206.0,115.0,Baylor University,Temple,Texas,Brian Skinner,F,6-9,"May 19, 1976",Baylor University
patrick ewing,20699.0,Patrick Ewing,SF,26.0,NOH,7.0,0.0,19.0,0.6,0.222,0.4,0.8,6.4,6.4,14.2,0.0,4.4,12.9,19.5,-0.1,0.0,-8.7,-0.6,0.0,0.0,0.0,0.75,1.0,2.0,0.0,1.0,1.0,Patrick Ewing,213.0,108.0,Georgetown University,Kingston,Jamaica,Patrick Ewing,F,6-8,"May 20, 1984",Georgetown University
patrick ewing,20699.0,Patrick Ewing,SF,26.0,NOH,7.0,0.0,19.0,0.6,0.222,0.4,0.8,6.4,6.4,14.2,0.0,4.4,12.9,19.5,-0.1,0.0,-8.7,-0.6,0.0,0.0,0.0,0.75,1.0,2.0,0.0,1.0,1.0,Patrick Ewing,213.0,108.0,Georgetown University,Kingston,Jamaica,Patrick Ewing,C-F,7-0,"August 5, 1962",Georgetown University
javaris crittenton,19463.0,Javaris Crittenton,SG,21.0,MEM,7.0,0.0,44.0,13.2,0.479,0.067,0.733,11.0,5.7,20.1,1.2,0.0,13.1,24.3,0.0,0.0,-1.0,-3.3,0.0,0.0,0.0,0.455,4.0,5.0,1.0,0.0,3.0,Javaris Crittenton,196.0,90.0,Georgia Institute of Technology,Atlanta,Georgia,Javaris Crittenton,G,6-5,"December 31, 1987",Georgia Institute of Technology
erwin mueller,2992.0,Erwin Mueller,PF,25.0,SEA,4.0,23.593374650359237,69.0,10.2,0.417,0.15860433144009717,0.281,6.181565025009618,13.708657175836867,11.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.1,0.0,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.444,62.18920998220897,6.0,39.89705245948935,24.470260133673126,73.93983201832528,Erwin Mueller,203.0,104.0,University of San Francisco,Unknown,Unknown,Erwin Mueller,C-F,6-8,"March 12, 1944",University of San Francisco
clyde mayes,4854.0,Clyde Mayes,PF,23.0,BUF,2.0,23.593374650359237,7.0,-1.7,0.231,0.15860433144009717,1.0,0.0,43.5,0.0,0.0,0.0,15.085098559901962,18.906491853360468,-0.1,0.0,-21.3,-10.8,-0.1,22.215036720029588,0.24879631551634632,0.667,0.0,0.0,0.0,0.0,73.93983201832528,Clyde Mayes,203.0,102.0,Furman University,Greenville,South Carolina,Clyde Mayes,F,6-8,"March 17, 1953",Furman University
alan henderson,15170.0,Alan Henderson,PF,28.0,ATL,73.0,42.0,1810.0,14.0,0.487,0.001,0.404,11.0,14.0,4.9,1.5,1.1,13.8,22.6,0.5,1.4,-2.1,-1.3,-0.6,0.0,0.0,0.638,180.0,50.0,51.0,29.0,126.0,Alan Henderson,206.0,106.0,Indiana University,Indianapolis,Indiana,Alan Henderson,F,6-9,"December 2, 1972",Indiana University
antonio lang,14735.0,Antonio Lang,SF,27.0,PHI,3.0,0.0,6.0,25.2,1.042,0.0,1.0,0.0,0.0,28.3,0.0,0.0,0.0,10.5,0.0,0.0,4.9,-9.5,0.0,0.0,0.24879631551634632,1.0,0.0,1.0,0.0,0.0,0.0,Antonio Lang,211.0,111.0,University of Arkansas,Pine Bluff,Arkansas,Antonio Lang,F-G,6-8,"May 15, 1972",Duke University
erwin mueller,2793.0,Erwin Mueller,PF,24.0,SEA,26.0,23.593374650359237,483.0,13.0,0.472,0.15860433144009717,0.45,6.181565025009618,13.708657175836867,17.1,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.2,0.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.597,62.18920998220897,62.0,39.89705245948935,24.470260133673126,73.93983201832528,Erwin Mueller,203.0,104.0,University of San Francisco,Unknown,Unknown,Erwin Mueller,C-F,6-8,"March 12, 1944",University of San Francisco
erwin mueller,2791.0,Erwin Mueller,PF,24.0,TOT,78.0,23.593374650359237,1355.0,10.7,0.414,0.15860433144009717,0.422,6.181565025009618,13.708657175836867,18.1,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.9,1.7,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.549,62.18920998220897,186.0,39.89705245948935,24.470260133673126,73.93983201832528,Erwin Mueller,203.0,104.0,University of San Francisco,Unknown,Unknown,Erwin Mueller,C-F,6-8,"March 12, 1944",University of San Francisco
