name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1,ss_Player_idx,ss_Pos_idx,ss_Tm_idx,ss__c0_equal_width,ss_Age_equal_width,ss_G_equal_width,ss_GS_quantile,ss_MP_quantile,ss_PER_quantile,player_cluster
guy sparrow,1336.0,Guy Sparrow,SF,25.0,NYK,72.0,23.593374650359237,1661.0,12.5,0.421,0.15860433144009717,0.307,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.2,1.0,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.642,62.18920998220897,69.0,39.89705245948935,24.470260133673126,73.93983201832528,Guy Sparrow,198.0,98.0,University of Detroit Mercy,Pontiac,Michigan,Guy Sparrow,F,6-6,"November 2, 1932",University of Detroit Mercy,-1317.3830627055752,1770.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0,2.0,0
roy marble,9798.0,Roy Marble,SG,23.0,ATL,24.0,0.0,162.0,5.5,0.36,0.034,0.5,10.4,6.6,8.9,2.2,0.4,16.5,21.9,-0.4,0.1,-5.1,-2.0,-0.2,0.0,0.0,0.655,15.0,11.0,7.0,1.0,14.0,Roy Marble,198.0,86.0,University of Iowa,Flint,Michigan,Roy Marble,G-F,6-6,"December 13, 1966",University of Iowa,-9795.594408340916,2908.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,3
mike riordan,4576.0,Mike Riordan,SF,30.0,WSB,78.0,23.593374650359237,1943.0,9.2,0.464,0.15860433144009717,0.145,2.4,7.4,8.9,1.3,0.3,15.085098559901962,18.906491853360468,-0.1,1.8,-3.6,-0.3,-0.9,22.215036720029588,0.24879631551634632,0.74,44.0,122.0,54.0,13.0,73.93983201832528,Mike Riordan,193.0,90.0,Providence College,New York,New York,Mike Riordan,G-F,6-4,"July 9, 1945",Providence College,-4554.000391184223,775.0,2.0,27.0,0.0,3.0,4.0,3.0,3.0,1.0,0
marko jaric,17349.0,Marko Jaric,PG,26.0,LAC,50.0,41.0,1656.0,13.9,0.5,0.33,0.179,1.5,9.9,29.7,2.7,0.8,16.6,16.5,1.1,1.7,0.7,-0.1,1.1,56.0,0.371,0.72,20.0,303.0,84.0,17.0,98.0,Marko Jaric,201.0,89.0,Unknown,Belgrade,Serbia,Marko Jaric,G,6-7,"October 12, 1978",Unknown,-17329.086460193732,1419.0,4.0,20.0,3.0,2.0,2.0,4.0,3.0,3.0,2
glen gondrezick,6561.0,Glen Gondrezick,SF,26.0,DEN,80.0,0.0,1699.0,14.9,0.559,0.006,0.438,9.1,17.4,10.4,2.4,1.1,14.5,15.4,2.6,1.0,1.0,0.4,1.5,0.0,0.0,0.737,140.0,152.0,92.0,36.0,100.0,Glen Gondrezick,198.0,98.0,"University of Nevada, Las Vegas",Boulder,Colorado,Glen Gondrezick,F-G,6-6,"August 30, 1955","University of Nevada, Las Vegas",-6541.329826214039,1558.0,2.0,15.0,1.0,2.0,4.0,1.0,3.0,3.0,3
jim king,3428.0,Jim King,SG,30.0,CHI,73.0,23.593374650359237,1014.0,11.7,0.509,0.15860433144009717,0.317,6.181565025009618,13.708657175836867,13.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.1,1.4,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.788,62.18920998220897,101.0,39.89705245948935,24.470260133673126,73.93983201832528,Jim King,188.0,79.0,University of Tulsa,Tulsa,Oklahoma,Jim King,G,6-2,"February 7, 1941",University of Tulsa,-3416.3166388250875,589.0,1.0,8.0,0.0,3.0,4.0,3.0,2.0,2.0,0
clem haskins,4203.0,Clem Haskins,SG,31.0,WSB,70.0,23.593374650359237,702.0,11.8,0.445,0.15860433144009717,0.217,4.1,7.3,15.3,1.5,0.5,15.085098559901962,18.906491853360468,0.0,0.9,-2.7,-0.8,-0.3,22.215036720029588,0.24879631551634632,0.841,29.0,79.0,23.0,6.0,73.93983201832528,Clem Haskins,190.0,88.0,Western Kentucky University,Campbellsville,Kentucky,Clem Haskins,G,6-3,"July 11, 1943",Western Kentucky University,-4194.796213049084,1166.0,1.0,27.0,0.0,3.0,4.0,3.0,1.0,2.0,0
jim king,2959.0,Jim King,PG,28.0,TOT,34.0,23.593374650359237,391.0,11.1,0.473,0.15860433144009717,0.318,6.181565025009618,13.708657175836867,16.5,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.0,0.4,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.805,62.18920998220897,52.0,39.89705245948935,24.470260133673126,73.93983201832528,Jim King,188.0,79.0,University of Tulsa,Tulsa,Oklahoma,Jim King,G,6-2,"February 7, 1941",University of Tulsa,-2954.2965958099517,589.0,4.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0
dick cunningham,3118.0,Dick Cunningham,C,24.0,MIL,76.0,23.593374650359237,675.0,11.7,0.455,0.15860433144009717,0.303,6.181565025009618,13.708657175836867,7.2,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.1,1.0,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.661,62.18920998220897,43.0,39.89705245948935,24.470260133673126,73.93983201832528,Dick Cunningham,208.0,111.0,Murray State University,Canton,Ohio,Dick Cunningham,C,6-10,"July 11, 1946",Murray State University,-3110.173206903086,1346.0,3.0,5.0,0.0,1.0,4.0,3.0,1.0,2.0,0
billy owens,14306.0,Billy Owens,SF,29.0,SEA,21.0,19.0,451.0,11.9,0.452,0.067,0.212,8.9,11.6,14.5,1.4,0.7,15.5,21.5,0.0,0.1,-2.4,-1.6,-0.2,5.0,0.455,0.8,35.0,38.0,12.0,4.0,33.0,Billy Owens,203.0,99.0,Syracuse University,Carlisle,Pennsylvania,Billy Owens,F-G,6-8,"May 1, 1969",Syracuse University,-14300.040008531123,310.0,2.0,19.0,2.0,2.0,1.0,2.0,1.0,2.0,2
