name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1
dave piontek,1541.0,Dave Piontek,SF,25.0,STL,25.0,23.593374650359237,722.0,6.9,0.42,0.15860433144009717,0.406,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.1,0.4,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.563,62.18920998220897,34.0,39.89705245948935,24.470260133673126,73.93983201832528,Dave Piontek,198.0,104.0,Xavier University,Unknown,Unknown,Dave Piontek,F-C,6-6,"August 27, 1934",Xavier University,-1532.784855366811
sean marks,18518.0,Sean Marks,PF,31.0,PHO,3.0,0.0,17.0,6.7,0.436,0.167,0.333,0.0,19.6,0.0,0.0,4.1,0.0,18.2,0.0,0.0,-7.7,-3.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Sean Marks,208.0,113.0,University of California,Auckland,New Zealand,Sean Marks,F-C,6-10,"August 23, 1975",University of California,-18516.714213116375
kelly tripucka,9488.0,Kelly Tripucka,SF,29.0,CHH,71.0,65.0,2302.0,17.7,0.558,0.069,0.418,3.6,9.5,15.7,1.8,0.4,14.1,29.8,2.4,0.9,1.7,-1.7,1.2,30.0,0.357,0.866,79.0,224.0,88.0,16.0,236.0,Kelly Tripucka,198.0,99.0,University of Notre Dame,Glen Ridge,New Jersey,Kelly Tripucka,F-G,6-6,"February 16, 1959",University of Notre Dame,-9461.320233122016
darko milicic,20302.0,Darko Milicic,C,24.0,NYK,8.0,0.0,71.0,12.1,0.471,0.0,0.0,7.9,21.2,8.4,2.9,1.1,10.5,12.1,0.0,0.1,-3.7,1.3,0.0,0.0,0.24879631551634632,0.7192786333417487,5.0,4.0,4.0,1.0,2.0,Darko Milicic,213.0,113.0,Unknown,Novi Sad,Serbia,Darko Milicic,F-C,7-0,"June 20, 1985",Unknown,-20299.98595881695
darko milicic,22037.0,Darko Milicic,C,27.0,BOS,1.0,0.0,5.0,-30.2,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,66.7,28.4,-0.1,0.0,-33.0,-3.1,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,0.0,0.0,0.0,2.0,Darko Milicic,213.0,113.0,Unknown,Novi Sad,Serbia,Darko Milicic,F-C,7-0,"June 20, 1985",Unknown,-22035.614622544643
stu lantz,4518.0,Stu Lantz,PG,29.0,LAL,53.0,23.593374650359237,853.0,9.8,0.514,0.15860433144009717,0.436,3.3,7.7,11.1,1.4,0.2,15.085098559901962,18.906491853360468,0.6,0.5,-2.7,-1.0,-0.4,22.215036720029588,0.24879631551634632,0.899,28.0,76.0,27.0,3.0,73.93983201832528,Stu Lantz,190.0,79.0,University of Nebraska,Uniontown,Pennsylvania,Stu Lantz,G,6-3,"July 13, 1946",University of Nebraska,-4508.120014116619
austin carr,6124.0,Austin Carr,SG,32.0,TOT,47.0,23.593374650359237,657.0,6.2,0.403,0.03,0.231,3.5,6.4,11.7,1.1,0.2,13.7,18.4,-0.9,0.5,-4.8,-0.9,-0.6,0.0,0.0,0.63,22.0,58.0,15.0,2.0,41.0,Austin Carr,193.0,90.0,University of Notre Dame,Washington,District of Columbia,Austin Carr,G,6-4,"March 10, 1948",University of Notre Dame,-6116.249142665712
mark west,8263.0,Mark West,C,25.0,CLE,67.0,26.0,1172.0,7.7,0.55,0.0,0.493,9.1,21.2,2.2,1.1,3.0,26.4,12.1,-0.6,1.5,-4.3,1.5,-0.2,0.0,0.24879631551634632,0.524,97.0,20.0,27.0,62.0,91.0,Mark West,208.0,104.0,Old Dominion University,Petersburg,Virginia,Mark West,C-F,6-10,"November 5, 1960",Old Dominion University,-8249.321703366219
johnny dawkins,11933.0,Johnny Dawkins,PG,31.0,DET,50.0,9.0,1170.0,12.2,0.552,0.27,0.204,2.8,8.6,26.2,2.3,0.1,22.6,14.6,0.8,0.3,-1.3,-1.8,-0.3,25.0,0.342,0.909,28.0,205.0,52.0,1.0,86.0,Johnny Dawkins,188.0,74.0,Duke University,Washington,District of Columbia,Johnny Dawkins,G,6-2,"September 28, 1963",Duke University,-11918.933738999927
dick schulz,257.0,Dick Schulz,F,33.0,TOT,50.0,23.593374650359237,1209.7203165133815,12.479071407825398,0.401,0.15860433144009717,0.519,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.6,0.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.755,62.18920998220897,66.0,39.89705245948935,24.470260133673126,73.93983201832528,Dick Schulz,188.0,87.0,University of Wisconsin,Racine,Wisconsin,Dick Schulz,F-G,6-2,"January 3, 1917",University of Wisconsin,-243.42902709899417
